"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
05/09/2020 04:40:20,Buy,,0.02488270,BTC,0.02488270,250.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,250.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,3.67,USD,,
05/09/2020 04:42:08,Buy,,0.00091199,BTC,0.02579469,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/09/2020 04:57:02,Buy,,0.09981623,BTC,0.12561092,1000.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,1000.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,14.68,USD,,
05/10/2020 05:26:54,Buy,,0.00104145,BTC,0.12665237,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/11/2020 05:55:28,Buy,,0.00103242,BTC,0.12768479,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/13/2020 05:56:26,Buy,,0.00100943,BTC,0.12869422,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/14/2020 05:56:27,Buy,,0.00095140,BTC,0.12964562,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/15/2020 06:20:17,Buy,,0.00094242,BTC,0.13058804,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/16/2020 06:08:57,Buy,,0.00094921,BTC,0.13153725,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/17/2020 06:02:52,Buy,,0.00094436,BTC,0.13248161,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
